Company,ISIN,Country,Publication date,Claim full compliance,Name of Auditor,Report link,SASB industry (SICS® Industries)
Metsä,FI0009000665,Finland,2025-02-20,TRUE,KPMG,https://www.metsagroup.com/globalassets/metsa-group/documents/investors/financial-reporting/annual-reports/2024/metsa-group-annual-review-2024.pdf,Pulp & Paper Products
Mercedes-Benz,DE0007100000,Germany,2025-03-11,TRUE,PwC,https://group.mercedes-benz.com/documents/investors/reports/annual-report/mercedes-benz/mercedes-benz-annual-report-2024-incl-combined-management-report-mbg-ag.pdf,Automobiles
Deutsche Bank,DE0005140008,Germany,2025-03-13,TRUE,EY,https://investor-relations.db.com/files/documents/annual-reports/2024/Annual-Report-2024.pdf?language_id=1,Investment Banking & Brokerage
K+S,DE000KSAG888,Germany,2025-03-13,TRUE,PwC,https://www.kpluss.com/.downloads/ir/2025/kpluss-annual-report-2024.pdf,Chemicals
Uniper,DE000UNSE026,Germany,2025-02-24,TRUE,PwC,https://www.uniper.energy/system/files/2025-03/2025_02_25_FY_2024_Uniper_Annual_Report.pdf,Electric Utilities & Power Generators
EssilorLuxottica,FR0000121667,France,2025-03-10,TRUE,PwC,https://www.essilorluxottica.com/en/cap/content/247426/,Medical Equipment & Supplies
Huhtamaki,FI0009000459,Finland,2025-03-11,TRUE,KPMG,https://www.huhtamaki.com/globalassets/global/investors/reports-and-presentations/en/2024/huhtamaki-annual-report-2024.pdf,Containers & Packaging
Rabobank,n.a.,Netherlands,2025-03-13,TRUE,PwC,https://media.rabobank.com/m/6139dd32089f1983/original/Annual-Report-2024.pdf,Commercial Banks
BMW Group,DE0005190003,Germany,2025-03-14,TRUE,PwC,https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2025/bericht/BMW-Group-Report-2024-en.pdf,Automobiles
Nokia,FI0009000681,Finland,2025-03-14,TRUE,Deloitte,https://www.nokia.com/system/files/2025-03/nokia-annual-report-2024.pdf,Hardware
Orion,FI0009014377,Finland,2025-03-11,TRUE,KPMG,https://www.orionpharma.com/493e39/globalassets/investors/reports-and-presentations/2024/orion-financial-statement-documents-2024.pdf,Medical Equipment & Supplies
NN Group,NL0010773842,Netherlands,2025-03-13,TRUE,KPMG,https://www.nn-group.com/article-display-on-page-no-index/nn-group-annual-report-2024.htm,Insurance
Société Générale,FR0000130809,France,2025-03-14,TRUE,PwC & KPMG,https://www.societegenerale.com/sites/default/files/documents/2025-03/universal-registration-document-2025.pdf,Commercial Banks
Rexel,FR0010451203,France,2025-03-13,TRUE,PwC & KPMG,https://www.rexel.com/content/uploads/sites/2/2025/03/rexel-urd-202412-en.pdf,Industrial Machinery & Goods
Sopra Steria,FR0000050809,France,2025-03-14,TRUE,ACA Nexia & Saint Front,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/rapports-financiers/sopra_steria_urd_2024_en_opti.pdf?sfvrsn=e57d27db_16,Software & IT Services
Allianz,DE0008404005,Germany,2025-03-14,TRUE,PwC,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2024/en-allianz-group-annual-report-2024.pdf,Insurance
Nordex,DE000A0D6554,Germany,2025-02-27,TRUE,KPMG,https://ir-api.eqs.com/media/document/61605c82-da3a-4001-977c-94c45b199b0a/assets/DE000A0D6554-JA-2024-EQ-E-01.pdf?disposition=inline,Wind Technology & Project Developers
Statkraft,n.a.,Norway,2025-03-04,TRUE,PwC,https://www.statkraft.com/globalassets/0/.com/6-investor-relations/reports-and-presentations/2024/q4/statkraft-as---annual-report-2024.pdf,Electric Utilities & Power Generators
ProSiebenSat.1 Media,DE000PSM7770,Germany,2025-03-06,TRUE,PwC,https://www.prosiebensat1.com/files/2025/03/13/218da4bb-c422-47d0-8d63-be38de97a721.pdf,Media & Entertainment
Danone,FR0000120644,France,2025-03-11,TRUE,Forvis Mazars,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2025/registrationdocuments/danoneuniversalregistrationdocument2024.pdf,Processed Foods
VINCI,FR0000125486,France,2025-02-28,TRUE,PwC,https://www.vinci.com/publi/vinci/vinci-2024-universal-registration-document.pdf,Engineering & Construction Services
RELX,GB00B2B0DG97,United Kingdom,2025-02-20,TRUE,EY,https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/relx-2024-annual-report.pdf,Professional & Commercial Services
Coca Cola HBC,CH0198251305,Switzerland,2025-03-14,TRUE,PwC,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/cchbc-iar-2024.pdf.downloadasset.pdf,Non-Alcoholic Beverages
Inditex,ES0148396007,Spain,2025-03-12,TRUE,EY,https://www.inditex.com/itxcomweb/api/media/604197b9-50de-4f4f-ab84-c1e379cb3fd0/Inditex_Group_Annual_Report_2024.pdf?t=1741989136588,"Apparel, Accessories & Footwear"
Storebrand,NO0003053605,Norway,2025-03-17,TRUE,PwC,https://www.storebrand.no/en/investor-relations/annual-reports/_/attachment/inline/f7268ecb-0b2b-44e3-b264-bb93a0a06afa:afbfc17fd8ac42a515a6a48fb54eaec364e37ae0/2024-annual-report-storebrand-asa.pdf,Insurance
Puma ,DE0006969603,Germany,2025-03-12,TRUE,KPMG,https://about.puma.com/sites/default/files/financial-report/2024/puma-annual-report-2024-en-final_0.pdf,"Apparel, Accessories & Footwear"
Continental,DE0005439004,Germany,2025-03-18,TRUE,PwC,https://annualreport.continental.com/2024/en/service/docs/annual-report-2024-data.pdf,Auto Parts
Sitowise,FI4000480215,Finland,2025-03-12,TRUE,KPMG,https://www.sitowise.com/sites/default/files/2025-03/Sitowise-Annual%20Review-2024-en.pdf,Engineering & Construction Services
Sampo,FI4000552500,Finland,2025-03-18,TRUE,Deloitte,https://www.sampo.com/globalassets/year2024/group/sampo2024_board_report_financial_statements.pdf,Insurance
Engie,FR0010208488,France,2025-03-17,TRUE,Deloitte & EY,https://www.engie.com/sites/default/files/assets/documents/2025-03/ENGIE_DEU_2024_US__PDF_MEL_v3.pdf,Electric Utilities & Power Generators
Vonovia,DE000A1ML7J1,Germany,2025-03-19,TRUE,PwC,https://report.vonovia.com/2024/q4/app/uploads/Vonovia-SE_Annual-Report-2024.pdf,Real Estate
BW Offshore,BMG1738J1247,Bermuda,2025-02-27,TRUE,KPMG,https://ml-eu.globenewswire.com/Resource/Download/7096fd21-1cf0-44b9-945c-ed6058c869a5,Marine Transportation
Lenzing,AT0000644505,Austria,2025-03-14,TRUE,KPMG,https://reports.lenzing.com/geschaefts-und-nachhaltigkeitsbericht/2024/_assets/downloads/entire-lenzing-gb24.pdf?h=IrQy2_XM,Chemicals
NWB Bank,n.a.,Netherlands,2025-02-14,TRUE,EY,https://nwbbank.com/application/files/7617/4235/8276/NWB_Bank_Annual_Report_2024.pdf,Commercial Banks
Energias de Portugal (EDP),PTEDP0AM0009,Portugal,2025-03-14,TRUE,PwC,https://www.edp.com/sites/default/files/2025-03/Integrated%20Annual%20Report%202024%20-%20Unofficial%20Version%20-%20Unaudited.pdf,Electric Utilities & Power Generators
NOS,PTZON0AM0006,Portugal,2025-03-14,TRUE,KPMG,https://www.nos.pt/content/dam/nos/institucional/investidores/investidores_en/results-presentations/results-documents/2024/4q24/2024-Integrated-Annual-Report.pdf,Telecommunication Services
Prysmian,IT0004176001,Italy,2025-03-10,TRUE,EY,https://www.prysmian.com/sites/www.prysmian.com/files/media/documents/Integrated_Annual_Report_2024_Prysmian_ENG_3.pdf,Electrical & Electronic Equipment
Novo Banco,n.a,Portugal,2025-03-06,TRUE,EY,https://www.cmvm.pt/PInstitucional/PdfVierInfPriv?Input=1E2FC1FC82B57A069BCC2BC347C38083FFC6DE4E73037CF7F9686EBB72C982B7,Commercial Banks
RWE,DE0007037129,Germany,2025-03-20,TRUE,Deloitte,https://www.rwe.com/-/media/RWE/documents/05-investor-relations/finanzkalendar-und-veroeffentlichungen/2024-gj/2025-03-20-rwe-annual-report-2024.pdf,Electric Utilities & Power Generators
Triodos Bank,n.a.,Netherlands,2025-03-01,TRUE,PwC,https://www.annual-report-triodos.com/2024/xmlpages/tan/files?p_file_id=440,Commercial Banks
AXA,FR0000120628,France,2025-03-19,TRUE,EY & KPMG,https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/fd85b507-f97f-4ac5-861b-6b2b90e1c601_AXA_URD2024_EN.pdf,Insurance
Teleperformance,FR0000051807,France,2025-03-06,TRUE,PwC,https://www.tp.com/media/2balwxel/tp-2024-urd.pdf,Software & IT Services
Renault,FR0000131906,France,2025-03-14,TRUE,KPMG & Forvis Mazars,https://assets.renaultgroup.com/uploads/2025/03/Renault_URD_2024_EN-V2.pdf,Automobiles
Equinor,NO0010096985,Norway,2025-03-20,TRUE,EY,https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf,Oil & Gas – Exploration & Production
Prosegur,ES0175438003,Spain,2025-02-28,TRUE,EY,https://www.prosegurcash.com/dam/jcr:b7b04d09-dbaf-41cb-8586-291a24cb4617/CCAACC%202024%20Prosegur%20Cash%20-EN-.pdf,Professional & Commercial Services
Fugro,NL00150003E1,Netherlands,2025-03-07,TRUE,EY,https://annualreport.fugro.com/wp-content/uploads/2025/03/Fugro-Annual-Report-2024.pdf,Oil & Gas – Services
TDC Net,n.a.,Denmark,2025-03-13,TRUE,Deloitte,https://tdcnet.com/media/bahljs5f/tdc-net-annual-report-2024.pdf,Telecommunication Services
BASF,DE000BASF111,Germany,2025-03-21,TRUE,Deloitte,https://report.basf.com/2024/en/_assets/downloads/entire-full-report-basf-ar24.pdf?h=bgn5lq-I,Chemicals
Skandinaviska Enskilda Bank (SEB),SE0000148884,Sweden,2025-03-07,TRUE,EY,https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/0C76B7571DFB23F5C1258C4900320544/$FILE/SEB_Annual_Report_2024_ENG.pdf,Commercial Banks
SBAB Bank,n.a.,Sweden,2025-03-18,TRUE,Deloitte,https://www.sbab.se/download/18.113e0059190de94eea11876e/1742399889344/SBAB%20%C3%85R%202024_250320_ENG.pdf,Commercial Banks
If P&C Insurance,n.a.,Sweden,2025-03-11,TRUE,Deloitte,https://www.sampo.com/globalassets/year2024/if/if_annual_report_2024.pdf,Insurance
Erste Group Bank,AT0000652011,Austria,2025-02-28,TRUE,PwC,https://cdn0.erstegroup.com/content/dam/at/eh/www_erstegroup_com/en/Investor_Relations/onlinear2024/ar24reports/AR2024_FINAL_en.pdf?forceDownload=1,Commercial Banks
KION Group,DE000KGX8881,Germany,2025-02-26,TRUE,KPMG,https://reports.kiongroup.com/2024/ar/_assets/downloads/2024-Q4_Annual-Report_KION_Group.pdf?h=VEHUIzFO,Industrial Machinery & Goods
TenneT Holding,n.a,Netherlands,2025-03-06,TRUE,Deloitte,https://tennet-drupal.s3.eu-central-1.amazonaws.com/default/2025-03/Integrated%20Annual%20Report%20TenneT%20Holding%202024%20publication_0.pdf,Electric Utilities & Power Generators
Telia Company,SE0000667925,Sweden,2025-03-19,TRUE,KPMG,https://www.teliacompany.com/assets/u5c1v3pt22v8/4LVJsLuOlr3SbbnB7DT3X/fdd30eea5fefca67f2a9104af30fd104/Telia_Annual_report_2024.pdf,Telecommunication Services
Unilever,GB00B10RZP78,United Kingdom,2025-03-13,TRUE,KPMG,https://www.unilever.com/files/unilever-annual-report-and-accounts-2024.pdf,Household & Personal Products
Verbund,AT0000746409,Austria,2025-03-14,TRUE,EY,https://www.verbund.com/media/knlh3iey/verbund-integrated-annual-report-2024-englisch-final-1.pdf,Electric Utilities & Power Generators
Fingrid,n.a.,Finland,2025-03-18,TRUE,KPMG,https://www.fingrid.fi/globalassets/dokumentit/en/annual-report/2024/fingrid_oyj_annual_report_2024.pdf,Electric Utilities & Power Generators
Schoeller-Bleckmann Oilfield Equipment,AT0000946652,Austria,2025-03-20,TRUE,KPMG,https://a.storyblok.com/f/321294/x/79d92ecb9f/ar-24_en_final.pdf,Oil & Gas – Services
Palfinger,AT0000758305,Austria,2025-03-05,TRUE,PwC,https://assets.palfinger.com/importdata/corporate/newsroom/en/reports/2024/b7-qv9-x2z/Annual_Report_2024.pdf,Industrial Machinery & Goods
VP Bank,LI0315487269,Liechtenstein,2025-03-13,TRUE,PwC,https://reports.vpbank.com/2024/ar/downloads/en/VPBLI_GB2024_EN.pdf,Asset Management & Custody Activities
MTU Aero Engines,DE000A0D9PT0,Germany,2025-03-25,TRUE,KPMG,https://www.mtu.de/fileadmin/DE/5_Investoren/Financial_Report/MTUAeroEnginesAG_AnnualReport_2024_en_locked.pdf,Aerospace & Defence
BNP Paribas,FR0000131104,France,2025-03-20,TRUE,Deloitte & EY,https://invest.bnpparibas/en/document/universal-registration-document-annual-financial-report-2024-pdf,Commercial Banks
Fnac Darty,FR0011476928,France,2025-03-10,TRUE,KPMG & Deloitte,https://www.fnacdarty.com/wp-content/uploads/2025/03/fnac-darty-urd-2024-eng.pdf,Multiline and Specialty Retailers & Distributors
Edison,IT0003372205,Italy,2025-02-28,TRUE,KPMG,"https://www.edison.it/sites/default/files/documents/2024%20Financial%20Report_Volume1_Management,%20Sustainability%20and%20Governance_internet.pdf",Electric Utilities & Power Generators
Unibail-Rodamco-Westfield (URW),FR0013326246,France,2025-03-21,TRUE,KPMG & Deloitte,https://downloads.eu.ctfassets.net/1e76kztii87u/4qMSUEWSY1ktQRXnEfBLgf/ff826035be788331d2004df7e0457319/URD_2024_ENG_-_VDEF_March_21.pdf,Real Estate
Crédit Agricole,FR0000045072,France,2025-03-24,TRUE,PwC & Forvis Mazars,https://www.credit-agricole.com/en/pdfPreview/206105,Commercial Banks
Addiko Bank,AT000ADDIKO0,Austria,2025-03-06,TRUE,KPMG,https://www.addiko.com/static/uploads/Addiko-Group-Consolidated-Financial-Report-2024-EN-1.pdf,Commercial Banks
Telekom Austria (A1 Telekom Austria),AT0000720008,Austria,2025-03-21,TRUE,EY,https://a1.group/wp-content/uploads/sites/6/2025/03/A1-Group_results-report-2024-1.pdf,Telecommunication Services
Amplifon,IT0004056880,Italy,2025-03-20,TRUE,KPMG,https://corporate.amplifon.com/content/dam/amplifon/archive/en/investors/financial-reports/2025/250321_Amplifon_REPORT_ENG_WEB.pdf,Health Care Distributors
Atria,FI0009006548,Finland,2025-03-07,TRUE,Deloitte,https://www.atria.com/globalassets/atria.com/sijoittajat/atrian-vuosi-2024/en/atria-annual-report-2024.pdf,"Meat, Poultry & Dairy"
SNCF,n.a.,France,2025-03-10,TRUE,PwC & EY,https://www.groupe-sncf.com/medias-publics/2025-03/full-year-financial-report-2024-sncf-group.pdf?VersionId=em7qXJkw0zqwqOzffEZLKpir87yxVsm0,Rail Transportation
Thermador Groupe,FR0013333432,France,2025-03-14,TRUE,KPMG,https://www.thermador-groupe.fr/wp-content/uploads/urd-2024.pdf,Multiline and Specialty Retailers & Distributors
Lanxess,DE0005470405,Germany,2025-03-20,TRUE,KPMG,https://lanxess.com/-/media/project/lanxess/corporate-internet/investors/reporting/2024/lxs_ar-2024_en_web.pdf,Chemicals
Capgemini,FR0000125338,France,2025-03-21,TRUE,Forvis Mazars,https://investors.capgemini.com/en/file/28667?download=1,Software & IT Services
Munich Re,DE0008430026,Germany,2025-03-19,TRUE,EY,https://www.munichre.com/content/dam/munichre/mrwebsiteslaunches/2024-annual-report/MunichRe-Group-Annual-Report-2024-en.pdf/_jcr_content/renditions/original./MunichRe-Group-Annual-Report-2024-en.pdf,Insurance
Hapag Lloyd,DE000HLAG475,Germany,2025-03-07,TRUE,KPMG,https://www.hapag-lloyd.com/content/dam/website/downloads/ir/HLAG_FY_2024_EN.pdf,Marine Transportation
Kering,FR0000121485,France,2025-03-15,TRUE,Deloitte & PwC,https://www.kering.com/api/download-file/?path=DEU_EN_2024_interactif_26c8d4882e.pdf,"Apparel, Accessories & Footwear"
Commerzbank,DE000CBK1001,Germany,2025-03-26,TRUE,KPMG,https://investor-relations.commerzbank.com/media/document/b986ba5a-dc1d-41a7-a708-dc3a010ecc32/assets/Commerzbank_Group_Annual_Report_2024.pdf?disposition=inline,Commercial Banks
Daimler Truck,DE000DTR0CK8,Germany,2025-03-13,TRUE,KPMG,https://www.daimlertruck.com/fileadmin/user_upload/documents/investors/reports/annual-reports/2024/daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,Industrial Machinery & Goods
L’Oréal,FR0000120321,France,2025-03-24,TRUE,Deloitte & EY,https://www.loreal-finance.com/system/files/2025-03/2024_Universal_Registration_Document_LOREAL.pdf,Household & Personal Products
Deutsche Börse,DE0005810055,Germany,2025-03-20,TRUE,PwC,https://www.deutsche-boerse.com/resource/blob/4171106/7a5fad7ee1436604fd073bb0b73df2d0/data/DBG-annual-report-2024.pdf,Security & Commodity Exchange
Copenhagen Airport,DK0010201102,Denmark,2025-03-12,TRUE,Deloitte,https://www.cph.dk/494193/globalassets/8.-om-cph/04_investor/arsrapporter/2024/copenhagen_airports_as_group_annual_report_2024.pdf,Professional & Commercial Services
Fresenius,DE0005785604,Germany,2025-03-26,TRUE,PwC,https://www.fresenius.com/sites/default/files/2025-03/Fresenius_Annual_Report_2024.pdf,Health Care Delivery
Fresenius Medical,DE0005785802,Germany,2025-03-13,TRUE,PwC,https://freseniusmedicalcare.com/content/dam/fresenius-medical-care/global/en/04_media/pdf/publications/2024/FME_Annual_Report_2024_EN.pdf,Health Care Delivery
LVMH,FR0000121014,France,2025-03-26,TRUE,Deloitte,https://lvmh-com.cdn.prismic.io/lvmh-com/Z-PY3HdAxsiBv6wN_UniversalRegistrationDocument2024.pdf,"Apparel, Accessories & Footwear"
ASR Nederland,NL0011872643,Netherlands,2025-03-26,TRUE,KPMG,https://annualreport.asrnl.com/2024/xmlpages/tan/files?p_file_id=445,Insurance
Dassault Systèmes,FR0014003TT8,France,2025-03-27,TRUE,PwC,https://investor.3ds.com/static-files/f4610f80-970f-4a88-ab8e-0df492444765?_gl=1*vquc5h*_up*MQ..*_ga*MjA0MjE4MDg3MC4xNzQzMDY3OTQ2*_ga_DYJDKXYEZ4*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..*_ga_39DKQ0LYW1*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..,Software & IT Services
AMG Critical Materials,NL0000888691,Netherlands,2025-03-12,TRUE,KPMG,https://reports.amg-nv.com/2024/_assets/downloads/entire-amg-ar24.pdf?h=S9LODnP_,Chemicals
IMCD,NL0010801007 ,Netherlands,2025-03-04,TRUE,Deloitte,https://www.imcdgroup.com/sfsites/c/cms/delivery/media/MC7UDWPIZYQFHHZGUQR3D6G4FBG4?version=1.2&channelId=0apJy00000002pp,Chemicals
freenet,DE000A0Z2ZZ5,Germany,2025-03-27,TRUE,KPMG,https://www.freenet.ag/binaries/_ts_1743061697640/content/assets/freenetgroup/pdf/ir-englisch/finanzberichte/2024/freenet-gb-2024-en-web.pdf,Telecommunication Services
HKFoods,FI0009006308,Finland,2025-02-28,TRUE,EY,https://www.hkfoods.com/globalassets/hkscan.com/3-investors---sijoittajat/vuosikatsaus-2024/02b_hkfoods_bodreport_financialstatements24_en_final.pdf ,"Meat, Poultry & Dairy"
Caixabank,ES0140609019,Spain,2025-02-20,TRUE,PwC,https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Accionistasinversores/Informacion_economico_financiera/Informe_de_Gestion_Consolidado_2024_ENG.pdf,Commercial Banks
Endesa,ES0130670112,Spain,2025-02-25,TRUE,KPMG,https://www.endesa.com/content/dam/enel-es/endesa-en/home/investors/financialinformation/annualreports/documents/2024/consolidated-annual-report-endesa-2024.pdf,Electric Utilities & Power Generators
Grifols,ES0171996087,Spain,2025-02-25,TRUE,Deloitte,https://www.cnmv.es/webservices/verdocumento/ver?e=qg%2bwsFsrxPu9L7bgiPACziJs3cK80xVpwaYndxidzOuEhY8wWp9yOrsFup0pipEp,Biotechnology & Pharmaceuticals
Hermes,FR0000052292,France,2025-03-27,TRUE,PwC,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2025-03/1743171341/250328_hermes_urd2024_en.pdf?VersionId=ZZZMxGiUT7xHs0CZUKn6vrm0L1EvqtfS,"Apparel, Accessories & Footwear"
Syensqo,BE0974464977,Belgium,2025-03-20,TRUE,EY,https://www.syensqo.com/sites/g/files/alwlxe161/files/2025-03/Syensqo-2024-Annual-Integrated-Report.pdf,Chemicals
Zabka,LU2910446546,Luxembourg,2025-03-24,TRUE,EY,https://zabkagroup.azureedge.net/wp-content/uploads/2025/03/Zabka-Group-2024-AR-Full-year.pdf?t=1743155699,Food Retailers & Distributors
CD PROJEKT,PLOPTTC00011,Poland,2025-03-25,TRUE,Grant Thornton,https://www.cdprojekt.com/en/wp-content/uploads-en/2025/03/management-board-report-on-cd-projekt-group-activities-in-2024.pdf#page=87,Software & IT Services
Santander Bank Polska,PLBZ00000044,Poland,2025-02-25,TRUE,PwC,https://www.santander.pl/regulation_file_server/time20250307134205/download?id=168031&lang=en_US,Commercial Banks
Bank Millennium,PLBIG0000016,Poland,2025-02-24,TRUE,Deloitte,https://www.bankmillennium.pl/en/about-the-bank/investor-relations/financial-reports/annual-reports,Commercial Banks
Hensoldt,DE000HAG0005,Germany,2025-03-27,TRUE,KPMG,https://annualreport.hensoldt.net/resource/PDF/HENSOLDT_AG_Annual_Report_2024.pdf,Semiconductors
Orange,FR0000133308,France,2025-03-27,TRUE,KPMG & Deloitte,https://gallery.orange.com/finance/?od%3D270d12d1-9dd7-43a2-a480-1fed78f876c7%26om%3Dca6b8345-3c82-4d23-9a9c-5a238ae2015d%26v%3DsharedSelection%23ss%3Dbd9c85cd-0b0c-48b7-8433-3848ef8eadca&sa=D&source=editors&ust=1743531754328749&usg=AOvVaw0Zt1jtBUA3RFGzpKsBTRJ4,Telecommunication Services
Deceuninck,BE0003789063,Belgium,2025-03-25,TRUE,PwC,https://www.deceuninck.com/wp-content/uploads/2025/03/Deceuninck_AR2024_Online_FULL-EN.pdf,Building Products & Furnishings
Allegro,LU2237380790,Luxembourg,2025-03-13,TRUE,PwC,https://about.allegro.eu/static-files/2d1a10ad-ea02-409b-99db-556b96234d06,E-Commerce
Grupa Pracuj,PLGRPRC00015,Poland,2025-03-27,TRUE,EY,https://grupapracuj.pl/file/d9e1682f-2096-41fc-a378-b7051eec0c20,Professional & Commercial Services
Minor Hotels Europe & Americas,ES0161560018,Spain,2025-02-13,TRUE,PwC,https://www.nh-hotels.com/corporate/assets/uploads/2025/02/18103106/Annual-Report-2024-inc.-FS-and-Management-report-with-sustainability-con-informe.pdf,Hotels & Lodging
InPost,LU2290522684,Luxembourg,2025-03-28,TRUE,PwC,https://inpost.eu/sites/default/files/2025-03/InPost%20Raport%202024s.pdf,Air Freight & Logistics
Vandemoortele,n.a.,Belgium,2025-03-28,TRUE,Deloitte,https://vandemoortele.com/sites/default/files/2025-03/EN_2024_AnnualIntegratedReport_Vandemoortele_1.pdf,Processed Foods
Jungheinrich,DE0006219934,Germany,2025-03-27,TRUE,PwC,https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/1945362/b99eaa2a05fb89cc1a9ba7e22002593e/download-jungheinrich-geschaeftsbericht-2024-data.pdf,Industrial Machinery & Goods
Enagas,ES0130960018,Spain,2025-03-14,TRUE,EY,https://www.enagas.es/content/dam/enagas/en/files/enagas-communication-room/publications/informe-anual/Annual-Report-2024-Enagas.pdf,Oil & Gas – Midstream
Knorr-Bremse,DE000KBX1006,Germany,2025-03-20,TRUE,KPMG,https://ir-api.eqs.com/media/document/055f8df8-0727-4d65-968e-ffb3b7b87a35/assets/Knorr-Bremse_AG_Geschaeftsbericht_2024_safe.pdf?disposition=inline,Industrial Machinery & Goods
Wirtualna Polska Holding,PLWRTPL00027,Poland,2025-04-02,TRUE,PwC,https://holding.wpcdn.pl/uploader/Managements_report_2024.pdf?cEg=olmFE4%2BOw0OPx4ICQUVTVZPXA9dVlVPQ04eGw0ZBghPVU4OV1tdDg5UXFpYWFkOVw9ZXVxYCVUJVl1cDg9cWglYVlZZWlpcXApXXltcVlhdV1xaW1YbXE5BTRgEAgkeGw0AH05XXltZXVRbXlpcEg,Internet Media & Services
Stedin,n.a.,Netherlands,2025-03-31,TRUE,Deloitte,https://www.stedingroep.nl/-/media/project/groep/files/stedin_group_annual_report_2024.pdf,Electric Utilities & Power Generators
LPP,PLLPP0000011,Poland,2025-04-03,TRUE,Grant Thornton,https://wwwlpp62711ea95a.blob.core.windows.net/blobwwwlpp62711ea95a/wp-content/uploads/2025/04/Consolidated-annual-report-of-LPP-SA-Group-for-2024.pdf,"Apparel, Accessories & Footwear"
DZ BANK,DE000DZ8L9C1,Germany,2025-03-28,TRUE,PwC,https://annualreport.dzbank.com/sites/default/files/2025-03/DZBANK_Group_AR2024.pdf,Commercial Banks
Bank Polska Kasa Opieki,PLPEKAO00016,Poland,2025-02-27,TRUE,PwC,https://www.pekao.com.pl/dam/jcr:4508067b-d2e6-4771-a4e0-0ef4ebfffdad/Report_on_the_Activities_Bank_Pekao_Group_RR2024.pdf,Commercial Banks
Argenx,NL0010832176,Netherlands,2025-03-20,TRUE,Deloitte,https://argenx.com/content/dam/argenx-corp/media-documents/argenx-Integrated_Annual_Report_2024-PDF_print_1.pdf.coredownload.inline.pdf,Biotechnology & Pharmaceuticals
Assa Abloy,SE0007100581,Sweden,2025-03-12,TRUE,EY,https://www.assaabloy.com/group/en/documents/investors/annual-reports/2024/Annual%20Report%202024%20-%20for%20print.pdf,Electrical & Electronic Equipment
Svenska Handelsbanken,SE0007100599,Sweden,2025-02-26,TRUE,Deloitte,https://www.handelsbanken.com/tron/xgpu/info/contents/v1/document/72-263272,Commercial Banks
DNB Bank,NO0010161896,Norway,2025-03-14,TRUE,EY,https://www.ir.dnb.no/sites/default/files/pr/202503192798-2.pdf,Commercial Banks
ASM International,NL0000334118,Netherlands,2025-03-06,TRUE,KPMG,https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf,Semiconductors
Hrvatski Telekom,HRHT00RA0005,Croatia,2025-04-02,TRUE,Deloitte,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/izvjesca/ANNUAL_REPORT_ENG_2024_1.pdf,Telecommunication Services
AIXTRON,DE000A0WMPJ6,Germany,2025-02-26,TRUE,KPMG,https://www.aixtron.com/investoren/publikationen/2024/en/Annual%20Report%202024.pdf,Semiconductors
Kempower,FI4000513593,Finland,2025-04-02,TRUE,EY,https://investors.kempower.com/wp-content/uploads/sites/2/2025/04/kempower_annual_report_2024.pdf',Electrical & Electronic Equipment
Etteplan,FI0009008650,Finland,2025-03-18,TRUE,KPMG,https://mb.cision.com/Main/11766/4120224/3326232.pdf,Industrial Machinery & Goods
NIBC Bank,NL0012756316,Netherlands,2025-03-07,TRUE,EY,https://nibc.com/media/ys4npn2p/annual-report-nibc-bank-nv-2024.pdf,Commercial Banks
Atenor,BE0003837540,Belgium,2025-03-27,TRUE,BDO,https://www.atenor.eu/wp-content/uploads/2025/03/Atenor-Annual-Report-2024.pdf,Home Builders
Wienerberger,AT0000831706,Austria,2025-03-31,TRUE,Deloitte,https://www.wienerberger.com/content/dam/corp/corporate-website/downloads/investors-downloads/2024/2024-wienerberger-Annual-Report.pdf,Construction Materials
Schneider Electric,FR0000121972,France,2025-03-26,TRUE,PwC & Forvis Mazars,https://www.se.com/ww/en/assets/564/document/510443/2024-universal-registration-document.pdf?p_enDocType=Financial%20release&p_File_Name=Universal%20Registration%20Document%202024,Electrical & Electronic Equipment
Telenor,NO0010063308,Norway,2025-03-20,TRUE,EY,https://www.telenor.no/binaries/om/group/Annual-Report-2024-English.pdf,Telecommunication Services
